id,name,url
15,Eminem,https://www.allmusic.com/artist/eminem-mn0000157676
16,"The Rolling Stones",https://www.allmusic.com/artist/the-rolling-stones-mn0000894465
17,Soundgarden,https://www.allmusic.com/artist/soundgarden-mn0000001098
18,"Chuck Berry",https://www.allmusic.com/artist/chuck-berry-mn0000120521
19,"Neil Young",https://www.allmusic.com/artist/neil-young-mn0000379125
20,"Johnny Cash",https://www.allmusic.com/artist/johnny-cash-mn0000816890
21,"Bob Dylan",https://www.allmusic.com/artist/bob-dylan-mn0000066915
22,"The Kinks",https://www.allmusic.com/artist/the-kinks-mn0000100160
23,"2 Chainz / The Alchemist / Larry June",https://www.allmusic.com/artist/2-chainz-mn0002748040
24,"Throwing Muses",https://www.allmusic.com/artist/throwing-muses-mn0000925528
25,"Lambrini Girls",https://www.allmusic.com/artist/lambrini-girls-mn0004549798
26,Courting,https://www.allmusic.com/artist/courting-mn0003988051
27,"Public Enemy",https://www.allmusic.com/artist/public-enemy-mn0000856785
28,"Rage Against the Machine",https://www.allmusic.com/artist/rage-against-the-machine-mn0000863790
29,"Ice Cube",https://www.allmusic.com/artist/ice-cube-mn0000086065
30,Metallica,https://www.allmusic.com/artist/metallica-mn0000446509
31,"Wu-Tang Clan",https://www.allmusic.com/artist/wu-tang-clan-mn0000959876
32,L7,https://www.allmusic.com/artist/l7-mn0000100473
33,Motörhead,https://www.allmusic.com/artist/mot%C3%B6rhead-mn0000501407
34,"The Runaways",https://www.allmusic.com/artist/the-runaways-mn0000492275
35,"Ella Fitzgerald",https://www.allmusic.com/artist/ella-fitzgerald-mn0000184502
36,"Jason Isbell",https://www.allmusic.com/artist/jason-isbell-mn0000562615
38,"The Ancients / Isaiah Collier / William Hooker / William Parker",https://www.allmusic.com/artist/the-ancients-mn0004768598
39,"Tim Hart / Tim Hart & Maddy Prior / Maddy Prior",https://www.allmusic.com/artist/tim-hart-mn0000503187
40,"Martha & the Vandellas",https://www.allmusic.com/artist/martha-the-vandellas-mn0001199135
41,"Nick Lowe",https://www.allmusic.com/artist/nick-lowe-mn0000866841
42,"Duke Ellington",https://www.allmusic.com/artist/duke-ellington-mn0000120323
43,"Tammy Wynette",https://www.allmusic.com/artist/tammy-wynette-mn0000136640
44,"Van Halen",https://www.allmusic.com/artist/van-halen-mn0000260206
45,"Wings / Paul McCartney / Paul McCartney & Wings",https://www.allmusic.com/artist/wings-mn0000956707
46,"Russ Taff",https://www.allmusic.com/artist/russ-taff-mn0000212810
47,"Riccardo Muti / Wiener Philharmoniker",https://www.allmusic.com/artist/riccardo-muti-mn0000032776
48,"Edwyn Collins",https://www.allmusic.com/artist/edwyn-collins-mn0000620603
49,"Isabel Schicketanz",https://www.allmusic.com/artist/isabel-schicketanz-mn0003476936
50,"Fatma Said",https://www.allmusic.com/artist/fatma-said-mn0003904265
51,"Terry Riley",https://www.allmusic.com/artist/terry-riley-mn0000750519
53,"Edgar Froese / Klaus Schulze / Ashra",https://www.allmusic.com/artist/edgar-froese-mn0000147638
54,"Toumani Diabaté / Sidiki Diabaté",https://www.allmusic.com/artist/toumani-diabat%C3%A9-mn0000744075
55,"Philip Glass",https://www.allmusic.com/artist/philip-glass-mn0000849672
56,"Astor Piazzolla",https://www.allmusic.com/artist/astor-piazzolla-mn0000607967
57,"Four Tet",https://www.allmusic.com/artist/four-tet-mn0000741236
59,Baths,https://www.allmusic.com/artist/baths-mn0002424501
60,"Nels Cline",https://www.allmusic.com/artist/nels-cline-mn0000861400
61,"Billy Hart Quartet / Billy Hart",https://www.allmusic.com/artist/billy-hart-quartet-mn0003213609
62,"Eddie Chacon",https://www.allmusic.com/artist/eddie-chacon-mn0001539810
63,Radiohead,https://www.allmusic.com/artist/radiohead-mn0000326249
64,"Wayne Shorter",https://www.allmusic.com/artist/wayne-shorter-mn0000250435
65,"Charles Mingus",https://www.allmusic.com/artist/charles-mingus-mn0000009680
66,"Thelonious Monk",https://www.allmusic.com/artist/thelonious-monk-mn0000490416
67,"Sonny Rollins",https://www.allmusic.com/artist/sonny-rollins-mn0000039656
68,"Waylon Jennings",https://www.allmusic.com/artist/waylon-jennings-mn0000200791
69,"Bruce Springsteen",https://www.allmusic.com/artist/bruce-springsteen-mn0000530745
70,"Willie Nelson",https://www.allmusic.com/artist/willie-nelson-mn0000583959
71,"Lady Gaga",https://www.allmusic.com/artist/lady-gaga-mn0000994823
72,"Grateful Dead",https://www.allmusic.com/artist/grateful-dead-mn0000988440
73,"Kurt Elling / Sullivan Fortner",https://www.allmusic.com/artist/kurt-elling-mn0000777054
74,"Ambrose Akinmusire",https://www.allmusic.com/artist/ambrose-akinmusire-mn0000919421
75,"Louis Armstrong",https://www.allmusic.com/artist/louis-armstrong-mn0000234518
76,"De La Soul",https://www.allmusic.com/artist/de-la-soul-mn0000238322
78,"Cyndi Lauper",https://www.allmusic.com/artist/cyndi-lauper-mn0000122754
79,"Bob Wills and His Texas Playboys",https://www.allmusic.com/artist/bob-wills-and-his-texas-playboys-mn0000065538
80,"Pérez Prado",https://www.allmusic.com/artist/p%C3%A9rez-prado-mn0000310383
86,"Dead Kennedys",https://www.allmusic.com/artist/dead-kennedys-mn0000786613
88,"Black Flag",https://www.allmusic.com/artist/black-flag-mn0000091650
89,"Elvis Costello / Elvis Costello & the Attractions",https://www.allmusic.com/artist/elvis-costello-mn0000058549
90,Pixies,https://www.allmusic.com/artist/pixies-mn0000895136
93,"The Clash",https://www.allmusic.com/artist/the-clash-mn0000075747
94,"Magdalena Kožená / Andrew Staples / Simon Rattle / London Symphony Orchestra",https://www.allmusic.com/artist/magdalena-ko%C5%BEen%C3%A1-mn0001467668
95,"Bob Mould",https://www.allmusic.com/artist/bob-mould-mn0000058386
100,"The Who",https://www.allmusic.com/artist/the-who-mn0000577627
102,"Nine Inch Nails",https://www.allmusic.com/artist/nine-inch-nails-mn0000351733
104,"Depeche Mode",https://www.allmusic.com/artist/depeche-mode-mn0000239921
106,"Bonnie "Prince" Billy",https://www.allmusic.com/artist/bonnie-prince-billy-mn0000094764
108,"Mac Miller",https://www.allmusic.com/artist/mac-miller-mn0002653603
109,"Florence + the Machine / Jules Buckley / Jules Buckley and His Orchestra",https://www.allmusic.com/artist/florence-the-machine-mn0002124046
111,"Lloyd Price",https://www.allmusic.com/artist/lloyd-price-mn0000827250
113,"Stevie Wonder",https://www.allmusic.com/artist/stevie-wonder-mn0000622805
114,"Patsy Cline",https://www.allmusic.com/artist/patsy-cline-mn0000014651
115,"Big Bill Broonzy",https://www.allmusic.com/artist/big-bill-broonzy-mn0000757873
117,"Nina Simone",https://www.allmusic.com/artist/nina-simone-mn0000411761
118,"The War and Treaty",https://www.allmusic.com/artist/the-war-and-treaty-mn0003749672
119,"FKA twigs",https://www.allmusic.com/artist/fka-twigs-mn0003145761
120,"Japanese Breakfast",https://www.allmusic.com/artist/japanese-breakfast-mn0003475118
121,"Sharon Van Etten",https://www.allmusic.com/artist/sharon-van-etten-mn0002132489
122,"Fiona Apple",https://www.allmusic.com/artist/fiona-apple-mn0000169795
123,"Karl Böhm",https://www.allmusic.com/artist/karl-b%C3%B6hm-mn0000182286
