id,name,url
7,Acerbic,https://www.allmusic.com/mood/acerbic-xa0000000931
8,Aggressive,https://www.allmusic.com/mood/aggressive-xa0000000694
9,Agreeable,https://www.allmusic.com/mood/agreeable-xa0000000715
10,Airy,https://www.allmusic.com/mood/airy-xa0000000932
11,Ambitious,https://www.allmusic.com/mood/ambitious-xa0000000933
12,Amiable/Good-Natured,https://www.allmusic.com/mood/amiable-good-natured-xa0000000934
13,Angry,https://www.allmusic.com/mood/angry-xa0000000695
14,Angst-Ridden,https://www.allmusic.com/mood/angst-ridden-xa0000000935
15,Anguished/Distraught,https://www.allmusic.com/mood/anguished-distraught-xa0000000696
16,Angular,https://www.allmusic.com/mood/angular-xa0000000936
17,Animated,https://www.allmusic.com/mood/animated-xa0000000937
18,Anthemic,https://www.allmusic.com/mood/anthemic-xa0000001436
19,Apocalyptic,https://www.allmusic.com/mood/apocalyptic-xa0000000938
20,Arid,https://www.allmusic.com/mood/arid-xa0000000939
21,Athletic,https://www.allmusic.com/mood/athletic-xa0000000940
22,Atmospheric,https://www.allmusic.com/mood/atmospheric-xa0000000941
23,Austere,https://www.allmusic.com/mood/austere-xa0000000942
24,Autumnal,https://www.allmusic.com/mood/autumnal-xa0000000943
25,Belligerent,https://www.allmusic.com/mood/belligerent-xa0000000698
26,Benevolent,https://www.allmusic.com/mood/benevolent-xa0000000944
27,Bitter,https://www.allmusic.com/mood/bitter-xa0000000945
28,Bittersweet,https://www.allmusic.com/mood/bittersweet-xa0000000946
29,Bleak,https://www.allmusic.com/mood/bleak-xa0000000947
30,Boisterous,https://www.allmusic.com/mood/boisterous-xa0000000699
31,Bombastic,https://www.allmusic.com/mood/bombastic-xa0000000948
32,Bouncy,https://www.allmusic.com/mood/bouncy-ma0000005462
33,Brash,https://www.allmusic.com/mood/brash-xa0000000949
34,Brassy,https://www.allmusic.com/mood/brassy-xa0000000950
35,Bravado,https://www.allmusic.com/mood/bravado-xa0000000951
36,Bright,https://www.allmusic.com/mood/bright-xa0000000952
37,Brittle,https://www.allmusic.com/mood/brittle-xa0000000953
38,Brooding,https://www.allmusic.com/mood/brooding-xa0000000954
39,Calm/Peaceful,https://www.allmusic.com/mood/calm-peaceful-xa0000000701
40,Campy,https://www.allmusic.com/mood/campy-xa0000000955
41,Capricious,https://www.allmusic.com/mood/capricious-xa0000000956
42,Carefree,https://www.allmusic.com/mood/carefree-xa0000000702
43,Cartoonish,https://www.allmusic.com/mood/cartoonish-xa0000000957
44,Cathartic,https://www.allmusic.com/mood/cathartic-xa0000000958
45,Celebratory,https://www.allmusic.com/mood/celebratory-xa0000000703
46,Cerebral,https://www.allmusic.com/mood/cerebral-xa0000000959
47,Cheerful,https://www.allmusic.com/mood/cheerful-xa0000000704
48,Child-like,https://www.allmusic.com/mood/child-like-xa0000000960
49,Circular,https://www.allmusic.com/mood/circular-xa0000000961
50,Clinical,https://www.allmusic.com/mood/clinical-xa0000000962
51,Cold,https://www.allmusic.com/mood/cold-xa0000000963
52,Comic,https://www.allmusic.com/mood/comic-xa0000000705
53,Complex,https://www.allmusic.com/mood/complex-xa0000000964
54,Concise,https://www.allmusic.com/mood/concise-xa0000000965
55,Confessional,https://www.allmusic.com/mood/confessional-xa0000001440
56,Confident,https://www.allmusic.com/mood/confident-xa0000000748
57,Confrontational,https://www.allmusic.com/mood/confrontational-xa0000000966
58,Cosmopolitan,https://www.allmusic.com/mood/cosmopolitan-xa0000000967
59,Crunchy,https://www.allmusic.com/mood/crunchy-xa0000000968
60,Cute,https://www.allmusic.com/mood/cute-xa0000001437
61,Cynical/Sarcastic,https://www.allmusic.com/mood/cynical-sarcastic-xa0000000969
62,Dark,https://www.allmusic.com/mood/dark-xa0000000970
63,Declamatory,https://www.allmusic.com/mood/declamatory-xa0000000971
64,Defiant,https://www.allmusic.com/mood/defiant-xa0000000706
65,Delicate,https://www.allmusic.com/mood/delicate-xa0000000972
66,Demonic,https://www.allmusic.com/mood/demonic-xa0000000973
67,Desperate,https://www.allmusic.com/mood/desperate-xa0000000974
68,Detached,https://www.allmusic.com/mood/detached-xa0000000707
69,Devotional,https://www.allmusic.com/mood/devotional-xa0000000975
70,Difficult,https://www.allmusic.com/mood/difficult-xa0000000976
71,Dignified/Noble,https://www.allmusic.com/mood/dignified-noble-xa0000000977
